GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sunrise-sunset-forecast,com.example.sunrisesunsetforecast,SunriseSunsetForecastApplication,5,3,0,0,2,1,1,1,1,1
sunrise-sunset-forecast,com.example.sunrisesunsetforecast.service.impl,NominatimGeocodingService,149,10,4,0,31,2,6,2,4,2
sunrise-sunset-forecast,com.example.sunrisesunsetforecast.service.impl,SunForecastServiceImpl,70,340,24,21,24,71,24,9,0,5
sunrise-sunset-forecast,com.example.sunrisesunsetforecast.model,Coordinates,87,21,10,0,1,4,11,4,6,4
sunrise-sunset-forecast,com.example.sunrisesunsetforecast.exception,ExternalServiceException,0,9,0,0,0,4,0,2,0,2
sunrise-sunset-forecast,com.example.sunrisesunsetforecast.exception,GlobalExceptionHandler,103,62,0,0,25,13,6,4,6,4
sunrise-sunset-forecast,com.example.sunrisesunsetforecast.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
sunrise-sunset-forecast,com.example.sunrisesunsetforecast.exception,ErrorDetails,147,21,30,0,2,4,23,4,8,4
sunrise-sunset-forecast,com.example.sunrisesunsetforecast.config,LangChainConfig,37,0,0,0,14,0,2,0,2,0
sunrise-sunset-forecast,com.example.sunrisesunsetforecast.config,OpenApiConfig,35,0,0,0,13,0,2,0,2,0
sunrise-sunset-forecast,com.example.sunrisesunsetforecast.config,WebClientConfig,47,0,0,0,10,0,3,0,3,0
sunrise-sunset-forecast,com.example.sunrisesunsetforecast.controller,SunForecastController,0,12,0,0,0,2,0,2,0,2
sunrise-sunset-forecast,com.example.sunrisesunsetforecast.client,OpenMeteoClient,33,117,1,1,6,23,2,3,1,3
sunrise-sunset-forecast,com.example.sunrisesunsetforecast.client.dto,OpenMeteoResponse,107,33,18,0,0,4,12,8,3,8
sunrise-sunset-forecast,com.example.sunrisesunsetforecast.client.dto,OpenMeteoResponse.Daily,185,55,46,0,0,6,26,12,3,12
sunrise-sunset-forecast,com.example.sunrisesunsetforecast.dto,SunForecastResponse.SunForecastResponseBuilder,16,69,0,4,0,1,1,10,1,8
sunrise-sunset-forecast,com.example.sunrisesunsetforecast.dto,SunForecastResponse,265,47,54,0,2,8,38,10,11,10
sunrise-sunset-forecast,com.example.sunrisesunsetforecast.service,ForecastDescriptionService,74,4,0,0,8,1,2,1,2,1
